지 역,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월
서울,5450,5406,5368,5351,5343,5341,5343,5353,5364,5385,5409,5447,5808,5825,5835,5841,5847,5863,5891,5932,5970,5998,6050,6113
종로구,5924,5909,5845,5822,5812,5811,5807,5805,5811,5819,5835,5858,7078,7089,7100,7107,7112,7126,7144,7151,7162,7172,7188,7238
중구,6238,6221,6204,6197,6190,6185,6176,6169,6178,6187,6202,6212,6925,6939,6947,6948,6949,6952,6967,6993,7014,7035,7056,7099
용산구,6174,6140,6123,6097,6082,6070,6067,6071,6075,6090,6110,6147,6481,6497,6509,6522,6527,6544,6566,6603,6633,6660,6692,6767
성동구,6028,6001,5969,5953,5939,5932,5936,5946,5958,5985,6014,6048,6538,6553,6571,6586,6591,6607,6638,6689,6726,6766,6797,6854
광진구,6321,6293,6273,6252,6249,6249,6255,6268,6285,6306,6324,6360,6765,6772,6776,6783,6784,6796,6814,6852,6884,6907,6926,6980
동대문구,4940,4928,4902,4894,4894,4893,4891,4892,4896,4905,4911,4916,5188,5195,5209,5216,5217,5222,5235,5255,5291,5309,5326,5359
중랑구,4215,4206,4200,4195,4192,4189,4186,4184,4186,4191,4196,4198,4463,4466,4467,4468,4468,4471,4478,4498,4518,4538,4552,4584
성북구,4767,4730,4694,4674,4668,4661,4663,4668,4674,4681,4695,4708,5339,5353,5367,5380,5385,5393,5409,5434,5471,5501,5531,5566
강북구,4134,4095,4013,3992,3997,4007,4020,4030,4042,4066,4072,4079,4123,4140,4157,4168,4177,4196,4214,4246,4271,4285,4300,4332
도봉구,3553,3535,3508,3502,3496,3494,3494,3496,3498,3501,3509,3517,3791,3796,3801,3804,3805,3812,3822,3833,3850,3865,3884,3905
노원구,3855,3853,3846,3841,3840,3837,3837,3841,3845,3859,3868,3878,3911,3916,3917,3913,3909,3916,3933,3952,3975,3997,4021,4053
은평구,4169,4152,4115,4092,4090,4087,4091,4095,4102,4113,4123,4132,4506,4518,4524,4529,4532,4539,4555,4578,4599,4619,4643,4686
서대문구,4893,4865,4835,4822,4819,4815,4819,4821,4820,4824,4830,4845,5084,5089,5094,5098,5101,5106,5121,5143,5157,5175,5200,5240
마포구,6396,6366,6338,6299,6290,6298,6300,6308,6317,6335,6350,6376,6784,6825,6851,6875,6890,6916,6963,7028,7091,7120,7179,7274
양천구,5505,5487,5457,5423,5409,5399,5400,5406,5416,5447,5507,5583,5706,5720,5713,5704,5694,5695,5713,5734,5760,5781,5811,5857
강서구,4739,4724,4702,4690,4684,4678,4683,4692,4705,4731,4761,4790,5227,5235,5244,5251,5250,5256,5269,5291,5323,5349,5379,5414
구로구,4611,4596,4589,4584,4577,4574,4571,4572,4580,4587,4600,4611,4814,4823,4833,4838,4845,4857,4872,4896,4924,4951,4978,5015
금천구,3722,3707,3704,3701,3700,3696,3698,3701,3707,3716,3739,3771,4425,4433,4437,4441,4445,4453,4463,4485,4505,4528,4556,4584
영등포구,5156,5128,5114,5091,5074,5070,5062,5068,5085,5113,5148,5173,5630,5640,5648,5651,5651,5655,5671,5692,5715,5733,5759,5806
동작구,5867,5811,5757,5730,5716,5710,5732,5750,5772,5822,5845,5879,6232,6265,6281,6291,6305,6320,6343,6394,6423,6450,6526,6611
관악구,4720,4712,4704,4690,4683,4677,4668,4666,4669,4692,4724,4751,5184,5192,5198,5204,5208,5217,5230,5262,5306,5331,5369,5432
서초구,7823,7723,7643,7610,7597,7595,7619,7681,7727,7767,7805,7867,8730,8800,8825,8833,8824,8859,8927,9008,9082,9126,9256,9403
강남구,8379,8215,8069,8027,8020,8026,8037,8058,8083,8120,8176,8291,8730,8756,8780,8807,8819,8842,8909,8993,9056,9102,9236,9357
송파구,6148,6072,6054,6079,6097,6112,6115,6120,6125,6166,6200,6278,6501,6534,6535,6524,6578,6628,6677,6758,6827,6867,6978,7083
강동구,5256,5167,5110,5057,5006,4983,4963,4964,4965,4964,4964,5016,5376,5375,5380,5389,5397,5413,5468,5539,5583,5615,5695,5779
부산,2421,2416,2411,2402,2394,2387,2376,2369,2363,2360,2359,2368,2449,2452,2452,2451,2450,2452,2456,2464,2476,2494,2530,2603
중구,1707,1704,1701,1697,1694,1694,1693,1690,1690,1690,1690,1690,1685,1692,1692,1689,1689,1689,1689,1689,1689,1689,1689,1692
서구,2392,2389,2382,2373,2367,2358,2353,2349,2345,2343,2342,2341,2472,2472,2471,2469,2468,2467,2476,2476,2475,2484,2499,2531
동구,2285,2275,2269,2274,2275,2269,2262,2253,2245,2239,2235,2235,2271,2267,2265,2259,2256,2253,2252,2253,2254,2258,2274,2291
영도구,2007,2006,2003,1996,1993,1991,1989,1989,1987,1986,1985,1985,2027,2027,2027,2026,2026,2026,2027,2027,2027,2027,2030,2032
부산진구,2555,2551,2545,2536,2528,2521,2511,2506,2500,2497,2497,2496,2629,2631,2631,2630,2630,2631,2631,2630,2635,2649,2678,2768
동래구,2714,2701,2680,2642,2631,2617,2581,2573,2560,2548,2551,2577,2595,2596,2599,2601,2596,2602,2610,2621,2637,2659,2704,2781
남구,2466,2463,2465,2465,2463,2461,2453,2447,2444,2440,2438,2456,2667,2681,2682,2679,2682,2692,2709,2722,2744,2786,2844,2950
북구,2273,2270,2261,2250,2241,2234,2228,2224,2223,2219,2215,2212,2310,2309,2310,2309,2309,2313,2316,2322,2330,2338,2355,2413
해운대구,2699,2694,2689,2687,2676,2664,2654,2638,2627,2627,2626,2654,2735,2742,2737,2732,2730,2728,2734,2753,2787,2816,2896,2996
사하구,1807,1805,1803,1798,1795,1792,1786,1784,1778,1775,1777,1780,1798,1798,1798,1799,1800,1803,1806,1809,1815,1824,1837,1878
금정구,2542,2538,2537,2532,2519,2512,2498,2493,2486,2481,2477,2492,2532,2538,2542,2545,2543,2546,2552,2557,2564,2575,2593,2671
강서구,2498,2487,2475,2459,2448,2430,2406,2386,2372,2401,2405,2414,2490,2498,2501,2502,2503,2508,2516,2528,2538,2549,2587,2673
연제구,2830,2822,2818,2816,2812,2809,2807,2799,2795,2788,2789,2790,2886,2890,2893,2892,2891,2891,2891,2895,2900,2911,2962,3027
수영구,2863,2855,2846,2838,2833,2830,2819,2810,2799,2796,2796,2811,2822,2823,2826,2824,2823,2827,2828,2839,2854,2891,2941,2990
사상구,2145,2142,2136,2117,2105,2096,2088,2081,2079,2076,2075,2072,2090,2091,2090,2086,2085,2090,2095,2101,2107,2114,2125,2166
기장군,1998,1996,2002,2000,1996,1992,1987,1985,1979,1972,1965,1960,2087,2083,2079,2076,2071,2065,2063,2069,2074,2094,2125,2251
대구,2534,2535,2538,2539,2540,2539,2539,2542,2545,2554,2565,2574,2649,2659,2661,2660,2662,2667,2670,2678,2693,2707,2738,2790
중구,2991,2999,3028,3055,3062,3058,3059,3066,3071,3084,3097,3102,3390,3427,3444,3444,3445,3450,3448,3444,3448,3479,3536,3623
동구,2394,2401,2411,2432,2438,2435,2432,2427,2427,2429,2437,2446,2576,2591,2593,2596,2601,2602,2605,2611,2621,2625,2635,2656
서구,2019,2018,2018,2018,2019,2021,2024,2030,2031,2034,2038,2045,2058,2066,2072,2072,2074,2077,2078,2085,2094,2106,2126,2167
남구,2120,2122,2121,2123,2128,2128,2135,2136,2138,2138,2139,2173,2266,2265,2265,2265,2265,2265,2268,2270,2278,2287,2300,2320
북구,2457,2458,2458,2454,2454,2450,2448,2447,2449,2453,2458,2467,2565,2567,2568,2567,2568,2573,2575,2583,2592,2597,2608,2646
수성구,3371,3370,3363,3354,3346,3346,3341,3338,3334,3345,3355,3360,3399,3405,3402,3399,3402,3407,3411,3425,3461,3488,3560,3644
달서구,2427,2426,2429,2432,2434,2435,2439,2446,2451,2460,2469,2476,2499,2515,2520,2520,2521,2527,2531,2538,2551,2570,2603,2674
달성군,1892,1891,1895,1897,1899,1899,1906,1916,1932,1964,1993,2006,2132,2137,2139,2139,2139,2145,2150,2153,2163,2172,2187,2209
인천,2630,2622,2615,2608,2604,2600,2598,2595,2600,2605,2613,2624,2746,2761,2782,2808,2817,2831,2838,2844,2868,2899,2967,3037
중구,1802,1787,1778,1761,1745,1730,1726,1725,1729,1739,1745,1752,1845,1851,1868,1882,1883,1889,1892,1911,1946,1988,2024,2044
동구,2200,2196,2191,2186,2182,2179,2178,2176,2177,2177,2178,2178,2170,2162,2159,2172,2177,2175,2172,2171,2177,2191,2208,2216
미추홀구,2438,2433,2428,2419,2412,2409,2408,2404,2401,2403,2405,2407,2507,2515,2532,2576,2589,2594,2596,2609,2638,2674,2703,2730
연수구,3074,3052,3031,3010,2994,2971,2960,2948,2960,2970,2991,3016,3223,3266,3314,3322,3310,3316,3316,3320,3368,3406,3588,3805
남동구,2776,2772,2773,2766,2763,2762,2754,2743,2748,2754,2757,2763,2921,2927,2946,2978,3001,3020,3025,3021,3019,3038,3097,3146
부평구,2837,2828,2822,2828,2832,2842,2847,2849,2854,2858,2865,2873,2903,2912,2937,2960,2972,3003,3015,3026,3045,3067,3111,3158
계양구,2580,2580,2583,2578,2585,2583,2586,2581,2580,2587,2594,2607,2618,2633,2639,2664,2680,2691,2693,2699,2707,2728,2759,2784
서구,2316,2311,2302,2293,2291,2288,2290,2295,2301,2307,2314,2325,2564,2579,2591,2623,2628,2647,2660,2668,2707,2756,2811,2867
광주,2147,2147,2148,2146,2143,2139,2134,2132,2130,2130,2131,2131,2147,2149,2150,2150,2150,2151,2152,2154,2159,2163,2174,2211
동구,2102,2102,2103,2101,2098,2092,2086,2083,2081,2081,2082,2086,2213,2217,2220,2220,2219,2218,2220,2222,2230,2235,2250,2300
서구,2307,2309,2310,2308,2307,2306,2304,2301,2299,2299,2300,2300,2310,2312,2314,2315,2317,2319,2320,2322,2326,2329,2337,2361
남구,2307,2306,2306,2304,2301,2296,2290,2283,2277,2275,2275,2274,2279,2280,2283,2282,2283,2283,2285,2287,2294,2299,2312,2364
북구,1925,1926,1927,1927,1922,1920,1918,1916,1916,1916,1916,1917,1940,1942,1942,1943,1943,1944,1945,1946,1952,1955,1961,1977
광산구,2186,2186,2185,2181,2178,2170,2162,2161,2160,2162,2163,2163,2165,2166,2166,2165,2165,2164,2164,2166,2172,2178,2194,2254
대전,2183,2186,2186,2185,2188,2190,2193,2202,2214,2221,2233,2249,2357,2382,2410,2420,2429,2467,2492,2526,2564,2596,2633,2703
동구,1882,1881,1874,1867,1873,1879,1882,1894,1913,1933,1948,1952,2221,2241,2260,2287,2301,2328,2345,2371,2382,2401,2417,2444
중구,1802,1812,1817,1822,1840,1849,1854,1858,1876,1886,1906,1931,1980,1996,2015,2022,2030,2061,2092,2117,2135,2156,2178,2211
서구,2351,2354,2353,2352,2348,2346,2349,2364,2384,2390,2403,2426,2482,2514,2557,2567,2579,2623,2646,2687,2725,2760,2801,2858
유성구,2522,2523,2524,2525,2528,2531,2533,2539,2539,2544,2554,2565,2747,2781,2806,2809,2815,2863,2895,2938,3013,3060,3120,3269
대덕구,1740,1740,1740,1740,1737,1736,1736,1734,1733,1732,1735,1741,1747,1750,1762,1768,1772,1790,1806,1825,1838,1855,1872,1900
울산,2003,1990,1976,1960,1946,1935,1925,1917,1914,1918,1927,1939,1995,2014,2030,2042,2049,2067,2096,2131,2179,2221,2273,2385
